Township,Temperature,Precipitation,SynCanLR,SynCanLAS,SynCanRF,SynCanGBR,SynCanXGB,SynCanSVR
E1-09-003,25.54076914,91.42863636,42.74251472455521,42.76682695491285,46.547419206600004,47.64276594886833,45.03872,47.45632964855763
E1-09-005,25.36803509,92.85454545,43.34544640586878,43.3689984061385,47.51101374499997,43.93988337158712,45.495327,46.51404670439416
E1-09-006,25.3954508,92.81590909,43.24525328352174,43.26911835561687,47.49126036029998,46.295171502993114,46.923878,46.66262829655104
E1-09-007,25.39823884,92.92181818,43.23243168898545,43.25644120666041,47.45287284379998,46.295171502993114,45.422813,46.685901333450545
E1-09-009,25.39854605,92.58227273,43.239436363741014,43.263101726464974,46.39690776710001,46.3308118687031,44.91589,46.66271107800163
E1-09-010,25.38944045,92.27818182,43.280309176944336,43.303545644545274,49.82349272319996,47.04113667596984,47.293407,46.586721435583776
E1-09-011,25.40123665,92.21272727,43.238369230131156,43.26169034196484,48.570884119899965,47.04113667596984,47.14676,46.649510152078086
E1-09-012,25.28658453,92.34454545,43.658088695355715,43.68007003625121,46.5134796239,46.44671653466627,45.613438,46.0359929901814
E1-09-013,25.30075371,92.44318182,43.603463620946535,43.625728361086885,45.649082365800005,46.44671653466627,45.632248,46.11880720010471
E1-09-014,25.31902624,92.46545455,43.535534082522815,43.5580567192807,46.17739097990001,46.44671653466627,45.981094,46.21604225309649
E1-09-015,25.30410946,92.52,43.58924531800873,43.61163198246138,45.40782923390003,46.44671653466627,45.44261,46.14407272772871
E1-09-016,25.28605057,92.53681818,43.655449995119085,43.67762158784561,45.532801150800026,46.44671653466627,45.44261,46.05436652000954
E1-09-017,25.47047417,93.01363636,42.9638009482701,42.98883385221487,47.46337151149999,46.295171502993114,47.967876,47.104867958899725
E1-09-018,25.66837943,93.39545455,42.224703471335964,42.25267372248233,47.30385658160006,50.65978406502811,49.03267,48.2806584099177
E1-10-001,26.0165223,88.33318182,41.061951839880656,41.089210769671865,49.86223717530003,50.269715940248986,49.44807,50.18317007863748
E1-10-002,25.59791923,89.91363636,42.56803393056842,42.59152815341932,50.10235252540001,51.1475737894471,50.925755,47.72400181350311
E1-10-003,25.42876629,90.83045455,43.169958394401526,43.192216527980534,45.975742200300004,45.48444611411594,43.87446,46.694813876786796
E1-10-004,25.29914739,92.86772727,43.599213368513816,43.62189269478358,47.14059340010001,46.411076168956285,45.949535,46.15477393770746
E1-10-005,25.306272,93.35,43.56137674021714,43.58464215228607,48.340714974200054,46.411076168956285,46.752945,46.238079716205625
E1-10-012,25.16077421,93.01136364,44.106141485889886,44.12718800389466,49.059565614299935,46.151097456064306,48.387287,45.56568879161258
E1-10-013,25.1686784,92.88818182,44.07994021817404,44.1009621298006,48.78815579849995,46.151097456064306,48.043266,45.57784546811246
E1-10-014,25.25166192,93.03454545,43.77035897108197,43.792598457114565,49.24380387869996,46.151097456064306,48.38832,45.945696720488414
E1-10-015,25.12164738,93.40772727,44.2409559424917,44.26190548120754,49.8453255782,46.66411176099881,49.735615,45.49100060992879
E1-10-016,25.17913516,94.02,44.014245961450946,44.03656274799023,53.16823955710005,45.754029355630564,49.927303,45.77409349059057
E1-10-017,25.41911073,94.61590909,43.11484683532745,43.14086166094049,47.53727881160003,45.322564489029354,47.068924,46.89787706538154
E1-10-018,25.35727373,94.96818182,43.33448136940903,43.36006186392308,47.657066503999985,45.573810023979114,46.81742,46.61701646413128
E1-10-019,25.61411855,95.71045455,42.369354464715926,42.39900006260564,46.01823787700004,46.30823845750519,43.23293,47.91010568681318
E1-11-001,25.69440803,86.99136364,42.282185323568335,42.3039248450514,49.80259877130005,48.52815762368537,48.314445,47.9817938175316
E1-11-002,25.42636114,88.80954545,43.22726394270065,43.24741927019268,45.703719342599996,44.960757214481916,46.296093,46.43500560995604
E1-11-003,25.36513249,89.92909091,43.42626568122815,43.44678112284054,46.32226220989998,46.86264503912554,47.654057,46.19850616377407
E1-11-004,25.27546564,92.47,43.6960924758353,43.7180593984593,47.67775342659998,46.186737821774294,47.469566,45.994438125866935
E1-11-005,25.35314519,92.98454545,43.397250103130396,43.42074383399712,48.57994440629998,46.546417037942874,48.291348,46.44465517222891
E1-11-009,25.35126854,93.425,43.39361563773783,43.4175367873855,50.048837696200074,47.1719119110594,49.917034,46.47140939881593
E1-11-010,25.34746031,93.74545455,43.399981543291275,43.42418223764302,51.70741339740006,47.25325363695438,52.409985,46.47789974980311
E1-11-011,25.23214089,93.76818182,43.82477680043147,43.847517297933905,53.16218695950007,50.59995568177462,52.820786,45.94678804447747
E1-11-012,25.10860404,93.26363636,44.29251790398187,44.31315192587245,47.50486386129998,46.038616887882284,47.536907,45.42807484844719
E1-11-013,25.08602332,92.86909091,44.385259754638085,44.40519879885023,48.32041218209995,46.26598205706745,48.32243,45.29749655322861
E1-11-014,25.19037984,93.005,43.99709767233257,44.01851852029429,49.17204422479995,46.151097456064306,48.507328,45.67885831872617
E1-11-015,24.99159492,93.79181818,44.711431321987504,44.731101609733514,53.41022969450004,51.3291575811699,51.941612,45.26238790396917
